IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
TRUE,booad,,booad,,FALSE,,
FALSE,bosc,beurre bosc,beurre bosc,,FALSE,,
TRUE,boston apple,,boston apple,,FALSE,,
TRUE,boston red,,boston red,,FALSE,,
TRUE,boston sweet,,boston sweet,,FALSE,,
TRUE,bottle,bottle greening,bottle greening,,FALSE,,
TRUE,bottle green,bottle greening,bottle greening,,FALSE,,
TRUE,bottle greening,bottle greening,bottle greening,,FALSE,,
FALSE,bouey de jersey,louise bonne de jersey,louise bonne de jersey,,FALSE,,
FALSE,boussock,doyenne boussock,doyenne boussock,,FALSE,,
TRUE,box russet,roxbury russet,roxbury russet,,FALSE,,
TRUE,boyd baldwin,,boyd baldwin,,FALSE,,
TRUE,brackett,,brackett,,FALSE,,
FALSE,bran jean,beurre anjou,beurre anjou,,FALSE,,
FALSE,brandywine,brandywine,brandywine,,FALSE,,
TRUE,bretegemer,bietigheimer,bietigheimer,,FALSE,,
TRUE,bretigheimer,bietigheimer,bietigheimer,,FALSE,,
TRUE,bretymany,bietigheimer,bietigheimer,,FALSE,,
TRUE,briggs auburn,briggs auburn,briggs auburn,,FALSE,,
FALSE,brinkles orange,,brinkles orange,,FALSE,,
TRUE,broadwell,broadwell,broadwell,,FALSE,,
TRUE,brooks favorite,brooks favorite,brooks favorite,,FALSE,,
TRUE,brown sweet,,brown sweet,,FALSE,,
TRUE,brown's best,,brown's best,,FALSE,,
TRUE,brunswick pippin,,brunswick pippin,,FALSE,,
TRUE,buck,,buck,,FALSE,,
TRUE,buck sweet,,buck sweet,,FALSE,,
FALSE,buell,,buell,,FALSE,,
FALSE,buerre arigon,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,buerre charrgean,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,buerre clairgeau,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,buerre d'amanlis,beurre d'amanlis,beurre d'amanlis,,FALSE,,
FALSE,buerre d'anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,buerre d'aremburg,beurre d'aremberg,beurre d'aremberg,,FALSE,,
FALSE,buerre de anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,buerre hardy,beurre hardy,buerre hardy,,FALSE,,
FALSE,buerrer base,beurre bosc,beurre bosc,,FALSE,,
TRUE,buffalo sweeting,,buffalo sweeting,,FALSE,,
FALSE,buffam,buffum,buffum,,FALSE,,
FALSE,buffum,buffum,buffum,,FALSE,,
TRUE,bullard sweet,,bullard sweet,,FALSE,,
TRUE,bumpus,,bumpus,,FALSE,,
FALSE,burbank,,burbank,,FALSE,,
TRUE,burbank beauty,,burbank beauty,,FALSE,,
FALSE,burre d'argou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,burre hardy,burre hardy,burre hardy,,FALSE,,
FALSE,burred' anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,buru d. anjou,beurre d'anjou,beurre d'anjou,,FALSE,,
TRUE,c h russet,kavanaugh russet,kavanaugh russet,,FALSE,,
TRUE,c. red streak,twenty ounce,twenty ounce,,FALSE,,
TRUE,cab. head russet,kavanaugh russet,kavanaugh russet,,FALSE,,
TRUE,calef,calef,calef,,FALSE,,
TRUE,caleph sweet,calef,calef,,FALSE,,
FALSE,california,,california,,FALSE,,
TRUE,california,,california,,FALSE,,
TRUE,california belleflower,,california belleflower,,FALSE,,
TRUE,california pippin,,california pippin,,FALSE,,
